Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/04/2020 00:27,30/04/2020 08:19,379,93,33,472,17,254,108
29/04/2020 00:21,29/04/2020 08:14,405,68,39,473,59,254,92
27/04/2020 23:57,28/04/2020 07:59,401,80,43,481,100,211,90
27/04/2020 01:02,27/04/2020 09:23,415,86,40,501,69,267,79
26/04/2020 00:58,26/04/2020 10:49,486,105,50,591,65,323,98
24/04/2020 23:14,25/04/2020 08:17,460,83,51,543,76,278,106
24/04/2020 05:06,24/04/2020 08:05,171,4,0,179,N/A,N/A,N/A
21/04/2020 23:19,22/04/2020 08:17,460,77,44,537,74,262,124
20/04/2020 23:17,21/04/2020 07:00,386,77,38,463,56,251,79
20/04/2020 00:56,20/04/2020 07:53,347,69,34,416,53,249,45
19/04/2020 01:08,19/04/2020 10:33,489,76,46,565,65,326,98
18/04/2020 01:05,18/04/2020 08:34,366,83,37,449,55,228,83
16/04/2020 23:28,17/04/2020 07:31,420,63,40,483,65,258,97
15/04/2020 23:56,16/04/2020 07:44,403,64,38,467,20,298,85
15/04/2020 00:16,15/04/2020 07:57,399,61,29,460,59,268,72
13/04/2020 23:58,14/04/2020 07:57,407,72,38,479,27,304,76
13/04/2020 00:09,13/04/2020 08:39,422,87,38,509,66,268,88
11/04/2020 23:31,12/04/2020 09:07,478,97,48,575,37,319,122
11/04/2020 00:09,11/04/2020 08:01,400,72,46,472,49,255,96
09/04/2020 23:47,10/04/2020 07:51,408,76,49,484,55,242,111
08/04/2020 23:35,09/04/2020 07:58,421,81,39,502,36,303,82
07/04/2020 23:16,08/04/2020 07:45,410,99,41,509,25,308,77
06/04/2020 23:18,07/04/2020 07:50,455,57,44,512,107,243,105
06/04/2020 00:38,06/04/2020 07:43,347,78,32,425,36,205,106
05/04/2020 00:23,05/04/2020 10:25,491,111,52,602,62,332,97
04/04/2020 00:13,04/04/2020 09:17,459,85,41,544,62,289,108
03/04/2020 00:05,03/04/2020 07:49,406,58,40,464,70,241,95
02/04/2020 00:08,02/04/2020 07:37,379,69,31,448,75,200,104
31/03/2020 23:47,01/04/2020 07:44,409,67,49,476,60,263,86
